year,main_set,subset,set,number,fullName,card,type,front_photo_url,back_photo_url,card_url,scraped_at
1992,1992 ACE MVP Pins,,1992 ACE MVP Pins,NNO,Lenny Dykstra,1992 ACE MVP Pins #NNO Lenny Dykstra,,https://www.tcdb.com/Images/Cards/Baseball/426606/426606-NNOFr.jpg,https://www.tcdb.com/Images/Cards/Baseball/426606/426606-NNOBk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/426606/cid/24493218/1992-ACE-MVP-Pins-NNO-Lenny-Dykstra,2025-08-31T21:34:10.075041
1992,1992 Ballstreet,,1992 Ballstreet,NNO,John Kruk,1992 Ballstreet #NNO John Kruk,,https://www.tcdb.com/Images/Cards/Baseball/140034/140034-NNOFr.jpg,https://www.tcdb.com/Images/Cards/Baseball/140034/140034-NNOBk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/140034/cid/10945549/1992-Ballstreet-NNO-John-Kruk,2025-08-31T21:34:10.075246
1992,1992 Ballstreet,Oversized 4x6,1992 Ballstreet - Oversized 4x6,NNO,John Kruk,1992 Ballstreet - Oversized 4x6 #NNO John Kruk,,https://www.tcdb.com/Images/Cards/Baseball/140035/140035-NNOFr.jpg,https://www.tcdb.com/Images/Cards/Baseball/140035/140035-NNOBk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/140035/cid/23439024/1992-Ballstreet---Oversized-4x6-NNO-John-Kruk,2025-08-31T21:34:10.075414
1992,1992 Bicycle All-Stars Playing Cards,,1992 Bicycle All-Stars Playing Cards,10♥,John Kruk,1992 Bicycle All-Stars Playing Cards #10♥ John Kruk,,https://www.tcdb.com/Images/Cards/Baseball/86289/86289-10Fr.jpg,https://www.tcdb.com/Images/Cards/Baseball/86289/86289-10Bk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/86289/cid/6238640/1992-Bicycle-All-Stars-Playing-Cards-10%E2%99%A5-John-Kruk,2025-08-31T21:34:10.075597
1992,1992 Bicycle All-Stars Playing Cards,,1992 Bicycle All-Stars Playing Cards,JOKER,Darren Daulton / Dennis Martinez,1992 Bicycle All-Stars Playing Cards #JOKER Darren Daulton / Dennis Martinez,,https://www.tcdb.com/Images/Cards/Baseball/86289/86289-JOKERFr.jpg,https://www.tcdb.com/Images/Cards/Baseball/86289/86289-JOKERBk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/86289/cid/6238671/1992-Bicycle-All-Stars-Playing-Cards-JOKER-Darren-Daulton-/-Dennis-Martinez,2025-08-31T21:34:10.075765
1992,1992 Bicycle Rookies Playing Cards,,1992 Bicycle Rookies Playing Cards,9♣,Ruben Amaro,1992 Bicycle Rookies Playing Cards #9♣ Ruben Amaro,,https://www.tcdb.com/Images/Cards/Baseball/73199/73199-9Fr.jpg,https://www.tcdb.com/Images/Cards/Baseball/73199/73199-9Bk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/73199/cid/5270721/1992-Bicycle-Rookies-Playing-Cards-9%E2%99%A3-Ruben-Amaro,2025-08-31T21:34:10.075927
1992,1992 Bill Goff Advertising Cards,,1992 Bill Goff Advertising Cards,NNO,Connie Mack All-Stars,1992 Bill Goff Advertising Cards #NNO Connie Mack All-Stars,,https://www.tcdb.com/Images/Cards/Baseball/536642/536642-NNOFr.jpg,https://www.tcdb.com/Images/Cards/Baseball/536642/536642-NNOBk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/536642/cid/30322010/1992-Bill-Goff-Advertising-Cards-NNO-Connie-Mack-All-Stars,2025-08-31T21:34:10.076082
1992,1992 Bowman,,1992 Bowman,6,Dave Hollins,1992 Bowman #6 Dave Hollins,,https://www.tcdb.com/Images/Cards/Baseball/176/176-6Fr.jpg,https://www.tcdb.com/Images/Cards/Baseball/176/176-6Bk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/176/cid/87006/1992-Bowman-6-Dave-Hollins,2025-08-31T21:34:10.076204
1992,1992 Bowman,,1992 Bowman,39,Terry Mulholland,1992 Bowman #39 Terry Mulholland,,https://www.tcdb.com/Images/Cards/Baseball/176/176-39Fr.jpg,https://www.tcdb.com/Images/Cards/Baseball/176/176-39Bk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/176/cid/87039/1992-Bowman-39-Terry-Mulholland,2025-08-31T21:34:10.076363
1992,1992 Bowman,,1992 Bowman,44,Kim Batiste,1992 Bowman #44 Kim Batiste,,https://www.tcdb.com/Images/Cards/Baseball/176/176-44Fr.jpg,https://www.tcdb.com/Images/Cards/Baseball/176/176-44Bk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/176/cid/87044/1992-Bowman-44-Kim-Batiste,2025-08-31T21:34:10.076521
1992,1992 Bowman,,1992 Bowman,72,Jeff Jackson,1992 Bowman #72 Jeff Jackson,,https://www.tcdb.com/Images/Cards/Baseball/176/176-72Fr.jpg,https://www.tcdb.com/Images/Cards/Baseball/176/176-72Bk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/176/cid/87072/1992-Bowman-72-Jeff-Jackson,2025-08-31T21:34:10.076673
1992,1992 Bowman,,1992 Bowman,104,Braulio Castillo,1992 Bowman #104 Braulio Castillo,RC,https://www.tcdb.com/Images/Cards/Baseball/176/176-104Fr.jpg,https://www.tcdb.com/Images/Cards/Baseball/176/176-104Bk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/176/cid/87104/1992-Bowman-104-Braulio-Castillo,2025-08-31T21:34:10.076805
1992,1992 Bowman,,1992 Bowman,120,Cliff Brantley,1992 Bowman #120 Cliff Brantley,RC,https://www.tcdb.com/Images/Cards/Baseball/176/176-120Fr.jpg,https://www.tcdb.com/Images/Cards/Baseball/176/176-120Bk.jpg,https://www.tcdb.com/ViewCard.cfm/sid/176/cid/87120/1992-Bowman-120-Cliff-Brantley,2025-08-31T21:34:10.076932
